timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
4561.819346601,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4561.852795073,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4561.886273009,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4561.92104214,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4561.955519196,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4561.989060007,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.022587503,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.056113479,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.089615566,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.123338722,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.156855513,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.190340839,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.223920968,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.257756853,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.291241772,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.325215926,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.358691696,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.39613822,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.429762703,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.463262234,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.46159582401193,74.58333333333334
4562.49673419,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.38702460850112,74.58333333333334
4562.530248278,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.163310961968676,74.58333333333334
4562.563687935,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.08873974645787,74.58333333333334
4562.597186041,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.08873974645787,74.58333333333334
4562.630674054,-10.147689375893293,-24.98564043653073,35.24075366364269,-41.08873974645787,74.58333333333334
4562.664173493,-10.052405907575036,-24.87076392877657,35.24075366364269,-41.23788217747949,74.58333333333334
4562.697720398,-10.052405907575036,-24.87076392877657,35.24075366364269,-41.23788217747949,74.58333333333334
4562.731913141,-10.052405907575036,-24.87076392877657,35.24075366364269,-41.163310961968676,74.66666666666666
4562.765510012,-9.957122439256793,-24.87076392877657,35.24075366364269,-41.23788217747949,74.66666666666666
4562.798979653,-9.766555502620307,-24.87076392877657,35.24075366364269,-41.38702460850112,74.66666666666666
4562.83329407,-9.67127203430205,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4562.870258935,-9.766555502620307,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4562.90380008,-9.861838970938535,-24.87076392877657,35.24075366364269,-41.38702460850112,74.66666666666666
4562.937307279,-9.766555502620307,-24.87076392877657,35.24075366364269,-41.38702460850112,74.66666666666666
4562.973935548,-9.67127203430205,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4563.007652168,-9.67127203430205,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4563.044149058,-9.67127203430205,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4563.07766735,-9.480705097665549,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4563.111181401,-9.385421629347306,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4563.144632726,-9.385421629347306,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4563.179543274,-9.385421629347306,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4563.213154221,-9.385421629347306,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4563.246665679,-9.385421629347306,-24.87076392877657,35.24075366364269,-41.46159582401193,74.66666666666666
4563.280135079,-9.385421629347306,-24.87076392877657,35.38032100488488,-41.46159582401193,74.66666666666666
4563.31359033,-9.385421629347306,-24.87076392877657,35.38032100488488,-41.46159582401193,74.66666666666666
4563.347162385,-9.385421629347306,-24.87076392877657,35.38032100488488,-41.46159582401193,74.66666666666666
4563.380691123,-9.385421629347306,-24.98564043653073,35.38032100488488,-41.46159582401193,74.66666666666666
4563.416097758,-9.385421629347306,-24.98564043653073,35.38032100488488,-41.46159582401193,74.66666666666666
4563.452069207,-9.385421629347306,-24.98564043653073,35.38032100488488,-41.46159582401193,74.66666666666666
4563.485556572,-9.385421629347306,-24.98564043653073,35.38032100488488,-41.46159582401193,74.66666666666666
4563.519052401,-9.385421629347306,-24.98564043653073,35.38032100488488,-41.46159582401193,74.66666666666666
4563.55254723,-9.385421629347306,-24.98564043653073,35.38032100488488,-41.46159582401193,74.66666666666666
4563.586011001,-9.385421629347306,-24.98564043653073,35.38032100488488,-41.46159582401193,74.66666666666666
4563.61952196,-9.385421629347306,-24.98564043653073,35.38032100488488,-41.46159582401193,74.66666666666666
