timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
4715.443537242,-5.85993330157217,-38.311315336013784,34.54291695743197,-42.505592841163306,77.25
4715.477023843,-5.85993330157217,-38.311315336013784,34.54291695743197,-42.505592841163306,77.25
4715.51048493,-5.85993330157217,-38.311315336013784,34.54291695743197,-42.505592841163306,77.25
4715.543968923,-5.85993330157217,-38.42619184376795,34.54291695743197,-42.505592841163306,77.25
4715.577409306,-5.85993330157217,-38.42619184376795,34.54291695743197,-42.505592841163306,77.25
4715.610870022,-5.85993330157217,-38.541068351522114,34.54291695743197,-42.505592841163306,77.25
4715.645218023,-5.85993330157217,-38.541068351522114,34.54291695743197,-42.505592841163306,77.25
4715.6788332,-5.85993330157217,-38.541068351522114,34.54291695743197,-42.505592841163306,77.0
4715.712364416,-5.85993330157217,-38.541068351522114,34.54291695743197,-42.505592841163306,76.91666666666669
4715.748167362,-5.85993330157217,-38.541068351522114,34.54291695743197,-42.505592841163306,76.91666666666669
4715.781660337,-5.85993330157217,-38.541068351522114,34.6824842986741,-42.505592841163306,76.83333333333334
4715.815163163,-5.85993330157217,-38.541068351522114,34.6824842986741,-42.505592841163306,76.83333333333334
4715.849050115,-5.85993330157217,-38.65594485927628,34.6824842986741,-42.505592841163306,76.83333333333334
4715.882598626,-5.85993330157217,-38.65594485927628,34.6824842986741,-42.505592841163306,76.83333333333334
4715.916277747,-5.85993330157217,-38.65594485927628,34.6824842986741,-42.505592841163306,76.75
4715.949859924,-5.955216769890427,-38.65594485927628,34.82205163991625,-42.505592841163306,76.75
4715.983477139,-5.955216769890427,-38.65594485927628,34.82205163991625,-42.505592841163306,76.75
4716.016990447,-5.955216769890427,-38.65594485927628,34.82205163991625,-42.505592841163306,76.75
4716.05047157,-5.955216769890427,-38.65594485927628,34.82205163991625,-42.505592841163306,76.66666666666666
4716.083956563,-5.85993330157217,-38.65594485927628,34.82205163991625,-42.505592841163306,76.66666666666666
4716.117399576,-5.669366364935684,-38.65594485927628,34.82205163991625,-42.505592841163306,76.66666666666666
4716.152303552,-5.764649833253927,-38.65594485927628,34.82205163991625,-42.505592841163306,76.66666666666666
4716.186303909,-5.85993330157217,-38.65594485927628,34.82205163991625,-42.505592841163306,76.66666666666666
4716.219807421,-5.85993330157217,-38.65594485927628,34.82205163991625,-42.505592841163306,76.66666666666666
4716.253439135,-5.85993330157217,-38.65594485927628,34.82205163991625,-42.505592841163306,76.66666666666666
4716.288256501,-5.764649833253927,-38.65594485927628,34.82205163991625,-42.505592841163306,76.66666666666666
4716.324119706,-5.478799428299183,-38.65594485927628,34.82205163991625,-42.505592841163306,76.58333333333334
4716.357640217,-5.288232491662697,-38.65594485927628,34.96161898115841,-42.505592841163306,76.58333333333334
4716.391087193,-5.288232491662697,-38.65594485927628,35.38032100488488,-42.58016405667412,76.58333333333334
4716.425647247,-5.288232491662697,-38.541068351522114,36.636427076064194,-42.58016405667412,76.58333333333334
4716.460428226,-5.192949023344454,-38.196438828259616,38.59036985345429,-42.58016405667412,76.5
4716.493998134,-5.192949023344454,-37.85180930499713,40.683879972086544,-42.58016405667412,76.41666666666666
4716.527632153,-5.097665555026197,-37.736932797242964,42.35868806699233,-42.65473527218494,76.41666666666666
4716.561270802,-5.002382086707954,-37.736932797242964,43.33565945568736,-42.65473527218494,75.91666666666669
4716.594852117,-5.002382086707954,-37.507179781734635,44.45219818562455,-42.65473527218494,74.83333333333334
4716.632161314,-5.002382086707954,-37.392303273980474,45.28960223307746,-42.72930648769575,73.0
4716.667060169,-4.9070986183897105,-37.277426766226306,45.429169574319616,-42.87844891871737,70.66666666666669
